Year of award,Name,Film,Oscar category,Birth place,Birth date,Race/Ethnicity,Religion,Sexual orientation,Bio URL,_unit_state
1938,Walter Brennan,Come and Get It,Best Supporting Actor,"Swampscott, Ma",25-Jul-1894,White,Na,Straight,http://www.nndb.com/people/347/000032251/,finalized
1953,Shirley Booth,"Come Back, Little Sheba",Best Actress,New York City,30-Aug-1898,White,Na,Straight,http://www.nndb.com/people/807/000063618/,finalized
1979,Jon Voight,Coming Home,Best Actor,"Yonkers, Ny",29-Dec-38,White,Roman Catholic,Straight,http://www.nndb.com/people/060/000023988/,finalized
1968,George Kennedy,Cool Hand Luke,Best Supporting Actor,New York City,18-Feb-25,White,Na,Straight,http://www.nndb.com/people/001/000022932/,finalized
1930,Mary Pickford,Coquette,Best Actress,"Toronto, Ontario, Canada",8-Apr-1892,White,Na,Straight,http://www.nndb.com/people/683/000042557/,finalized
2010,Jeff Bridges,Crazy Heart,Best Actor,"Los Angeles, Ca",4-Dec-49,White,Lutheran,Straight,http://www.nndb.com/people/779/000022713/,finalized
1951,Jose Ferrer,Cyrano de Bergerac,Best Actor,"Santurce, Puerto Rico",8-Jan-09,Hispanic,Na,Straight,http://www.nndb.com/people/311/000026233/,finalized
2014,Matthew McConaughey,Dallas Buyers Club,Best Actor,"Uvalde, Tx",4-Nov-69,White,Na,Straight,http://www.nndb.com/people/583/000023514/,finalized
1991,Kevin Costner,Dances with Wolves,Best Director,"Lynwood, Ca",18-Jan-55,White,Baptist,Straight,http://www.nndb.com/people/758/000022692/,finalized
1936,Bette Davis,Dangerous,Best Actress,"Lowell, Ma",5-Apr-08,White,Na,Straight,http://www.nndb.com/people/457/000026379/,finalized
1966,Julie Christie,Darling,Best Actress,"Chabua, Assam, India",14-Apr-41,White,Na,Straight,http://www.nndb.com/people/801/000063612/,finalized
1996,Susan Sarandon,Dead Man Walking,Best Actress,"Queens, Ny",4-Oct-46,White,Roman Catholic,Straight,http://www.nndb.com/people/762/000024690/,finalized
1930,George Arliss,Desraeli,Best Actor,"London, England",10-Apr-1868,White,Na,Straight,http://www.nndb.com/people/740/000063551/,finalized
2013,Christoph Waltz,Django Unchained,Best Supporting Actor,Na,4-Oct-56,White,Na,Straight,http://www.nndb.com/people/455/000213813/,finalized
2007,Jennifer Hudson,Dreamgirls,Best Supporting Actress,"Chicago, Il",12-Sep-81,Black,Baptist,Straight,http://www.nndb.com/people/434/000129047/,finalized
1990,Jessica Tandy,Driving Miss Daisy,Best Actress,"London, England",7-Jun-09,White,Na,Straight,http://www.nndb.com/people/017/000023945/,finalized
1956,Jo Van Fleet,East of Eden,Best Supporting Actress,"Oakland, Ca",30-Dec-14,White,Na,Straight,http://www.nndb.com/people/089/000063897/,finalized
1995,Martin Landau,Ed Wood,Best Supporting Actor,"Brooklyn, Ny",20-Jun-31,White,Jewish,Straight,http://www.nndb.com/people/431/000023362/,finalized
1961,Burt Lancaster,Elmer Gantry,Best Actor,New York City,2-Nov-13,White,Protestant,Straight,http://www.nndb.com/people/938/000031845/,finalized
2001,Julia Roberts,Erin Brockovich,Best Actress,"Smyrna, Ga",28-Oct-67,White,Hindu,Straight,http://www.nndb.com/people/592/000022526/,finalized
1997,Frances McDormand,Fargo,Best Actress,"Chicago, Il",23-Jun-57,White,Disciples of Christ,Straight,http://www.nndb.com/people/517/000025442/,finalized
1944,Katina Paxinou,For Whom the Bell Tolls,Best Supporting Actress,"Athens, Greece",17-Dec-00,White,Na,Straight,http://www.nndb.com/people/080/000063888/,finalized
1995,Tom Hanks,Forrest Gump,Best Actor,"Concord, Ca",9-Jul-56,White,Born-Again Christian,Straight,http://www.nndb.com/people/687/000022621/,finalized
